Data set,Ligand InChI,LogBIO,PubChem SID,AIC100%,BIC100%,r2a100%,AIC95%,BIC95%,r2a95%
Training set,"InChI=1S/C20H20FNO2/c1-11-10-20(2,3)22-15-8-7-14-13-6-5-12(21)9-16(13)24-19(23-4)18(14)17(11)15/h5-10,19,22H,1-4H3",7.091515,103966324,7.419,6.996,7.447,7.432,7.038,7.406
Training set,"InChI=1S/C17H16N2S/c1-11-8-17(2,3)19-16-5-4-12(7-15(11)16)13-6-14(9-18)20-10-13/h4-8,10,19H,1-3H3",8.455932,103985754,8.008,7.456,8.022,7.953,7.529,7.464
Training set,"InChI=1S/C26H22BrNO/c1-16-15-26(2,3)28-21-13-12-19-18-9-5-7-11-22(18)29-23(25(19)24(16)21)14-17-8-4-6-10-20(17)27/h4-15,28H,1-3H3/b23-14-",8.259637,103962112,8.275,8.966,8.471,8.181,8.962,8.624
Training set,"InChI=1S/C27H26N2O4S/c1-14-13-27(3,4)28-18-7-6-17-24(23(14)18)21(12-22-16(10-11-34-22)15(2)29-31)33-20-9-8-19(30)26(32-5)25(17)20/h6-13,15,28,30H,1-5H3",6.102373,46518688,6.527,7.267,6.66,6.834,7.191,6.898
Training set,"InChI=1S/C21H22Cl2N2/c1-11-7-15(16-9-14(22)8-13-5-6-24-20(13)16)18(23)17-12(2)10-21(3,4)25-19(11)17/h5-9,12,24-25H,10H2,1-4H3",6.187087,160856424,7.287,7.255,7.297,7.253,7.228,7.06
Training set,"InChI=1S/C26H23Cl2NO2/c1-14-13-26(2,3)29-19-9-8-18-23-20(30-4)6-5-7-21(23)31-25(24(18)22(14)19)15-10-16(27)12-17(28)11-15/h5-13,25,29H,1-4H3",5.806875,103999550,6.637,7.952,6.689,6.563,7.818,6.996
Training set,"InChI=1S/C21H16F2N2O3/c22-16-5-1-3-14(11-16)20(13-21(26)15-4-2-6-17(23)12-15)24-18-7-9-19(10-8-18)25(27)28/h1-12,20,24H,13H2",7.337242,104142738,7.046,6.977,7.133,6.972,6.985,6.9
Training set,"InChI=1S/C25H21Cl2NO/c1-14-13-25(2,3)28-20-11-9-17-16-6-4-5-7-21(16)29-24(23(17)22(14)20)15-8-10-18(26)19(27)12-15/h4-13,24,28H,1-3H3",8.468521,103957946,8.097,8.516,8.417,8.239,8.511,8.426
Training set,"InChI=1S/C26H25NO/c1-16-9-11-18(12-10-16)25-24-20(19-7-5-6-8-22(19)28-25)13-14-21-23(24)17(2)15-26(3,4)27-21/h5-15,25,27H,1-4H3",8.638272,103957934,8.416,8.371,8.412,8.411,8.407,8.51
Training set,"InChI=1S/C25H25F2NO/c1-14-13-25(2,3)28-20-10-9-17-18-11-16(26)12-19(27)24(18)29-23(22(17)21(14)20)15-7-5-4-6-8-15/h5,7,9-13,15,23,28H,4,6,8H2,1-3H3/t15-,23+/m1/s1",8.318759,104099643,8.561,7.909,8.639,8.395,7.909,8.634
Training set,"InChI=1S/C23H25F2N3O/c1-12(2)29-28-18-10-23(4,5)27-17-9-16(24)19(21(25)20(17)18)15-8-6-7-14-13(3)11-26-22(14)15/h6-9,11-12,26-27H,10H2,1-5H3/b28-18+",6.420216,131343599,6.286,6.444,6.682,6.609,6.328,6.227
